"Gene","Frequencia_afetacoes","Percentual"
"RBMS3-AS1",4,0.04
"RBMS3-AS2",4,0.04
"RBMS3-AS3",4,0.04
"RTP3",4,0.04
"SACM1L",4,0.04
"SATB1-AS1",4,0.04
"SGO1-AS1",4,0.04
"SH3BP5-AS1",4,0.04
"SLC6A20",4,0.04
"SNORA7A",4,0.04
"SNORA93",4,0.04
"THRB-AS1",4,0.04
"THRB-AS2",4,0.04
"TMEM158",4,0.04
"TMIE",4,0.04
"UBE2E1-AS1",4,0.04
"UBE2E2-DT",4,0.04
"XCR1",4,0.04
"ZNF385D-AS1",4,0.04
"ZNF385D-AS2",4,0.04
"ABHD14A",3,0.03
"ABHD14B",3,0.03
"ACTR8",3,0.03
"ACY1",3,0.03
"ALAS1",3,0.03
"AMIGO3",3,0.03
"AMT",3,0.03
"APEH",3,0.03
"ARIH2",3,0.03
"ARIH2OS",3,0.03
"ATP2B2-IT1",3,0.03
"ATP2B2-IT2",3,0.03
"ATRIP",3,0.03
"BAP1",3,0.03
"BHLHE40-AS1",3,0.03
"BRRIAR",3,0.03
"BSN",3,0.03
"C3orf18",3,0.03
"C3orf62",3,0.03
"CACNA1D",3,0.03
"CACNA2D2",3,0.03
"CACNA2D3",3,0.03
"CAMKV",3,0.03
"CAMP",3,0.03
"CCDC51",3,0.03
"CCDC71",3,0.03
"CDC25A",3,0.03
"CDHR4",3,0.03
"CELSR3",3,0.03
"CHDH",3,0.03
"CHL1-AS1",3,0.03
"CHL1-AS2",3,0.03
"CIMIP7",3,0.03
"CISH",3,0.03
"CNTN4-AS1",3,0.03
"CNTN4-AS2",3,0.03
"COL7A1",3,0.03
"CSPG5",3,0.03
"CYB561D2",3,0.03
"DAG1",3,0.03
"DALRD3",3,0.03
"DCAF1",3,0.03
"DCP1A",3,0.03
"DHX30",3,0.03
"DNAH1",3,0.03
"DOCK3",3,0.03
"DUSP7",3,0.03
"EIF1B-AS1",3,0.03
"ELP6",3,0.03
"EMC3-AS1",3,0.03
"ENTPD3-AS1",3,0.03
"ESRG",3,0.03
"FBXW12",3,0.03
"GLT8D1",3,0.03
"GLYCTK",3,0.03
"GMPPB",3,0.03
"GNAI2",3,0.03
"GNAT1",3,0.03
"GNL3",3,0.03
"GPR62",3,0.03
"GPX1",3,0.03
"GRM2",3,0.03
"GRM7-AS1",3,0.03
"GRM7-AS2",3,0.03
"GRM7-AS3",3,0.03
"HEMK1",3,0.03
"HYAL1",3,0.03
"HYAL2",3,0.03
"HYAL3",3,0.03
"IFRD2",3,0.03
"IHO1",3,0.03
"IL17RB",3,0.03
"IMPDH2",3,0.03
"INKA1",3,0.03
"IP6K1",3,0.03
"IP6K2",3,0.03
"IQCF1",3,0.03
"IQCF2",3,0.03
"IQCF3",3,0.03
"IQCF5",3,0.03
"IQCF6",3,0.03
"ITIH1",3,0.03
"ITIH3",3,0.03
"ITIH4",3,0.03
"ITPR1-DT",3,0.03
"KIF9",3,0.03
"KLHDC8B",3,0.03
"KLHL18",3,0.03
"LAMB2",3,0.03
"LINC00606",3,0.03
"LINC00852",3,0.03
"LINC01266",3,0.03
"LMCD1-AS1",3,0.03
"LOC100130207",3,0.03
"LOC101927394",3,0.03
"LOC101927467",3,0.03
"LOC105376944",3,0.03
"LOC107303337",3,0.03
"LOC107303338",3,0.03
"LOC107303339",3,0.03
"LOC107303340",3,0.03
"LOC107303341",3,0.03
"LOC107303342",3,0.03
"LOC107522028",3,0.03
"LOC107522035",3,0.03
"LOC111365149",3,0.03
"LOC111429626",3,0.03
"LOC111501788",3,0.03
"LOC112841609",3,0.03
"LOC112848342",3,0.03
"LOC112935931",3,0.03
"LOC112935932",3,0.03
"LOC112935933",3,0.03
"LOC112935963",3,0.03
"LOC114004374",3,0.03
"LOC115995504",3,0.03
"LOC121009636",3,0.03
"LOC121009637",3,0.03
"LOC121009638",3,0.03
"LOC121009639",3,0.03
"LOC121009658",3,0.03
"LOC121725127",3,0.03
"LOC121725128",3,0.03
"LOC121725129",3,0.03
"LOC121725140",3,0.03
"LOC122889017",3,0.03
"LOC122889018",3,0.03
"LOC122889019",3,0.03
"LOC122889020",3,0.03
"LOC122889021",3,0.03
"LOC122889022",3,0.03
"LOC122889023",3,0.03
